run_id,stability,coil_fraction,pellet_available,memory_errors,risk_score,notes
73,0.1504,1.0,True,2,1.0000,Stability 0.15 below high‑risk threshold 0.20.; RMP coil at maximum current; limited headroom.; memory error count 2 > 0.
74,0.2035,0.5,True,5,0.8965,Stability 0.20 below medium‑risk threshold 0.50.; memory error count 5 > 0.
75,0.2106,0.5,False,0,0.7894,Stability 0.21 below medium‑risk threshold 0.50.
76,0.6899,0.0,True,2,0.4101,memory error count 2 > 0.
77,0.5205,1.0,False,1,0.5795,memory error count 1 > 0.
78,0.8169,1.0,False,5,0.2831,memory error count 5 > 0.
79,0.5345,0.5,True,0,0.4655,
80,0.6116,1.0,True,5,0.4884,memory error count 5 > 0.
81,0.8404,0.5,True,1,0.2596,memory error count 1 > 0.
82,0.7912,0.5,False,2,0.3088,memory error count 2 > 0.
83,0.2599,1.0,False,1,1.0000,Stability 0.26 below medium‑risk threshold 0.50.; RMP coil at maximum current; limited headroom.; memory error count 1 > 0.
84,0.8584,1.0,False,0,0.1416,
85,0.6978,1.0,True,5,0.4022,memory error count 5 > 0.
86,0.5694,1.0,False,0,0.4306,
87,0.1075,1.0,False,1,1.0000,Stability 0.11 below high‑risk threshold 0.20.; RMP coil at maximum current; limited headroom.; Pellet injector unavailable when needed.; memory error count 1 > 0.
88,0.6190,1.0,True,0,0.3810,
89,0.8051,0.5,False,0,0.1949,
90,0.6625,1.0,False,0,0.3375,
91,0.1210,0.5,False,5,1.0000,Stability 0.12 below high‑risk threshold 0.20.; Pellet injector unavailable when needed.; memory error count 5 > 0.
92,0.8340,0.0,False,2,0.2660,memory error count 2 > 0.
93,0.0375,0.0,True,5,1.0000,Stability 0.04 below high‑risk threshold 0.20.; memory error count 5 > 0.
94,0.4155,1.0,True,0,0.8845,Stability 0.42 below medium‑risk threshold 0.50.; RMP coil at maximum current; limited headroom.
95,0.5617,0.0,False,1,0.5383,memory error count 1 > 0.
96,0.3479,1.0,False,0,0.9521,Stability 0.35 below medium‑risk threshold 0.50.; RMP coil at maximum current; limited headroom.
97,0.9348,0.0,True,2,0.1652,memory error count 2 > 0.
98,0.6664,0.0,False,5,0.4336,memory error count 5 > 0.
99,0.4948,0.5,False,0,0.5052,Stability 0.49 below medium‑risk threshold 0.50.
